orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556467-7143,Michael Porath Projekt & Miljö AB,Michael Porath Projekt & Miljö AB,71129,,71129,LINKÖPING,58731,MYRSTIGEN 9,"Bolaget skall bedriva konsultverksamhet inom samhällsplanering, naturvård, miljöskydd och underhållningsverksamhet inom nöjesbranschen, konstnärlig verksamhet, författande av böcker och filmmanus och föredragshållande samt därmed förenlig verksamhet.",1993-05-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556467-7721,Intercont Moving Aktiebolag,Intercont Moving Aktiebolag,49420,,49420,TABERG,56240,STABBLÄGGAREVÄGEN 9,Bolaget skall bedriva flyttningsverksamhet samt därmed förenlig verksamhet.,1993-05-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556439-5647,ProCorp Aktiebolag,ProCorp Aktiebolag,70200,,70200; 68203; 74990,KÄLARNE,84498,HÄLLESJÖ 119,"Bolaget skall bedriva utbildnings- och konsultverksamhet inom företagsekonomi och ekonomistyrning samt i anslutning till dessa näraliggande forskning och utveckling samt därmed förenlig verksamhet. Bolaget skall också bedriva kapitalförvaltning, dock ej bank eller kreditrörelse.",1991-12-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556439-6710,Fröjds Åkeri i Kisa Aktiebolag,Fröjds Åkeri i Kisa Aktiebolag,49410,,49410,KISA,59039,HITTHEM SÖRGÅRDEN,"Bolaget skall bedriva åkeri- och frakttransporter, äga och förvalta fast egendom och handel med värdepapper samt därmed förenlig verksamhet.",1991-12-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556448-7394,Treson El Aktiebolag,Treson El Aktiebolag,43210,,43210,STENUNGSUND,44432,HANTVERKAREGATAN 14 C,"Bolaget skall bedriva installationer, reparationer och service inom elbranschen samt därmed förenlig verksamhet.",1992-06-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556480-6379,Team G El & VVS AB,Team G El & VVS AB,43221,,43221; 43210; 43222,KNIVSTA,74195,HUSBY BY KARLSHALL 119,"Aktiebolaget ska bedriva elinstallationer, VVS-arbeten, fastighetsskötsel,byggnadsmålning samt plåt och smidesarbeten och byggnadsarbeten och därmed förenlig verksamhet.",1994-01-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556451-3702,Geostatistik Lars Olsson Aktiebolag,Geostatistik Lars Olsson Aktiebolag,71129,,71129,UTTRAN,14763,STRANDVÄGEN 14,Bolaget skall bedriva konsulterande ingenjörsverksamhet inom geoteknik. Bedriva konsultverksamhet inom teknisk och medicinsk riskhantering. Äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.,1992-08-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556485-5764,Gillman Financial Services AB,Gillman Financial Services AB,70200,,70200,SALTSJÖ-BOO,13248,BÄCKTORPSVÄGEN 74,Bolaget skall bedriva konsultverksamhet inom det ekonomi- och adminstrativa området och därmed förenlig verksamhet.,1994-03-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556222-7081,Aktiebolaget Nasua Supply,Aktiebolaget Nasua Supply,70200,,70200,LULEÅ,97596,SINKSUNDSVÄGEN 6,"Bolaget ska även bedriva utveckling, förvaltning samt konsultation inom IT.  Bolaget ska även sälja tjänster inom friskvård.  Bolaget skall äga, köpa, sälja och förvalta fast egendom. Bolaget skall äga, köpa, sälja, hyra och finansiera (dock icke sådan verksamhet som avses i lag om bankrörelse eller lag om kreditaktiebolag) lös egendom, företrädesvis värdepapper, maskinutrustning, fordon.",1982-11-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556228-0221,Ola Jonsson Ekonomikonsult Aktiebolag,Ola Jonsson Ekonomikonsult Aktiebolag,69201,,69201,STOCKHOLM,11221,HANTVERKARGATAN 10  LGH 1401,"Bolaget skall bedriva redovisning, ekonomisk konsultverksamhet och handel med värdepapper samt därmed förenlig verksamhet.",1983-04-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556231-5605,Lasse Hanssons Plåtslageri Aktiebolag,Lasse Hanssons Plåtslageri Aktiebolag,43411,,43411,MALMÖ,21239,PILOTGATAN 5,Bolaget skall bedriva plåtslageri samt därmed förenlig verksamhet.,1983-07-06,active,,,http://www.lhplat.se,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/lasse+hanssons+pl%C3%A5tslageri+ab/malm%C3%B6/hkknveko | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,lhplat.se,https://lhplat.se,browser,no,,,net::ERR_NAME_NOT_RESOLVED at https://lhplat.se | method:browser
556490-3267,Astrum AB,Astrum AB,70200,,70200,KARLSTAD,65340,VÅXNÄSGATAN 4,Föremål för bolagets verksamhet är försäljning av tjänster och produkter inom området informationsteknik och företagsledningstjänster samt äga och förvalta aktier och övriga värdepapper ävensom idka därmed förenlig verksamhet.,1994-07-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556382-3532,Krylbo Bygg & Akustik Aktiebolag,Krylbo Bygg & Akustik Aktiebolag,41000,,41000,AVESTA,77424,BOX 167,"Bolaget skall utföra byggnadshantverk, försäljning och inmontering av undertak ävensom idka därmed förenlig verksamhet.",1989-12-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556473-2492,Svenneby Montage & Svets Aktiebolag,Svenneby Montage & Svets Aktiebolag,43999,,43999,TORSBY,68591,GRANEVIKSVÄGEN 121,Bolaget skall sälja tjänster inom svets och montagearbeten åt industri och byggsektorn och därmed förenlig verksamhet.,1993-09-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556384-6756,Kettil Byggkonsult AB,Kettil Byggkonsult AB,71121,,71121,TRANEMO,51433,STORGATAN 19,"Bolaget skall bedriva konsultverksamhet inom byggbranschen, förvalta fastigheter samt därmed förenlig verksamhet.",1990-03-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556393-2689,Bergstrands redovisning i stockholm AB,Bergstrands redovisning i stockholm AB,69201,,69201,STOCKHOLM,11820,PRYSSGRÄND 10 B,"Bolaget skall bedriva konsultverksamhet inom ekonomi och redovisning, administrativa tjänster, skatterådgivning samt även idka därmed förenlig verksamhet.",1990-04-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556486-6464,Advokatfirman Eva Gustafsson Aktiebolag,Advokatfirman Eva Gustafsson Aktiebolag,69101,,69101,BÅSTAD,26933,AGARDHSGATAN 59,Bolaget skall bedriva advokatverksamhet samt äga och förvalta aktier,1994-06-16,active,,,http://www.wagenius.com/,,hitta_orgnr,high,advokatfirman@wagenius.com,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/advokatfirmorna-wagenius-och-gustafsson/b%C3%A5stad/cgqtyyalc | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,wagenius.com,https://wagenius.com,browser,no,,,
556489-7006,LGT2023 AB,LGT2023 AB,43330,,43330,NORRKÖPING,60002,BOX 2045,"Bolagets verksamhet ska vara att bedriva byggentreprenader, golvkonstruktioner, golvrenoveringar och utföra betongarbeten. Bolaget ska vidare lämna konsultationer inom ovan nämnda verksamhet samt ävenså idka handel med byggvaror. Bolaget skall dessutom förvärva, äga och förvalta värdehandlingar samt fast och lös egendom och därmed förenlig verksamhet.",1994-06-28,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_url_found,,,,,,,
556491-1583,Profura AB,Profura AB,70100,,70100; 69201,GÖTEBORG,41104,LILLA BOMMEN 1,"Bolaget skall investera i och utveckla företrädesvis onoterade företag i syfte att skapa värdetillväxt för bolagets aktieägare. Bolaget skall även äga och förvalta värdepapper och fastigheter, samt idka därmed förenlig verksamhet.",1994-08-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556499-3805,M&M Konfektyr Aktiebolag,M&M Konfektyr Aktiebolag,70200,,70200,STOCKHOLM,11236,POLHEMSGATAN 20 B,"Bolaget skall bedriva kioskverksamhet, handel med värdepapper och därmed förenlig verksamhet.",1994-12-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556475-0080,InterEc Företagscenter i Huddinge Aktiebolag,InterEc Företagscenter i Huddinge Aktiebolag,69201,,69201; 68203; 70200,KUNGENS KURVA,14105,BOX 5078,"Bolaget skall bedriva kontorshotellsverksamhet, redovisningsservice samt administrativa tjänster och idka därmed förenlig verksamhet.",1993-10-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556422-3245,Sypher Consulting AB,Sypher Consulting AB,71122,,71122,GÖTEBORG,41666,PRÄSTGATAN 2,"Bolaget skall verka som konsult inom ekonomi, management, teknik och IT frågor inom bolagssektorn samt förvalta bolag, fastigheter och värdehandlingar, samt därmed förenlig verksamhet.",1991-03-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556480-7112,P.D.J. Åkeri Aktiebolag,P.D.J. Åkeri Aktiebolag,49410,,49410,MALMÖ,21234,KAROLINGATAN 18  LGH 1803,Bolaget skall som huvudsaklig verksamhet bedriva åkerirörelse och därmed förenlig verksamhet.,1994-01-24,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,
556480-7252,ARK. 1 Arkitektkontor Aktiebolag,ARK. 1 Arkitektkontor Aktiebolag,71110,,71110,VÄSTERÅS,72217,SKULTUNAVÄGEN 1,Bolaget skall bedriva arkitektverksamhet samt därmed förenlig verksamhet.,1994-01-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556353-0038,ILLUMINATOR Holding Aktiebolag,ILLUMINATOR Holding Aktiebolag,69102,,69102,HÖLLVIKEN,23691,LÅNGEVÄG 200,"Bolaget skall bedriva konsult- och rådgivningsverksamhet, samt idka handel, främst gentemot lantbruksnära industri. Bolaget ska marknadsföra skyltar. Bolaget ska förvalta fast och lös egendom.",1989-03-07,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,
556475-0189,RAMUK Aktiebolag,RAMUK Aktiebolag,70200,,70200; 64993; 68110,STOCKHOLM,11432,ENGELBREKTSGATAN 21  4 TR,"Bolaget skall bedriva konsultverksamhet inom hotell och restaurangbranschen samt äga och förvalta aktier och andra värdepapper samt fastigheter och därmed förenlig verksamhet. Bolaget ska även äga och förvalta samt idka handel med fast egendom och lös egendom, företrädesvis lägenheter, inom EU.",1993-10-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556487-7966,SD Project AB,SD Project AB,71121,,71121,STOCKHOLM,11256,RÅLAMBSVÄGEN 36,"Bolaget skall bedriva konsultverksamhet inom byggbranschen avseende datorberäkningar, datorritningar, konstruktioner, projektering och projektledning. Därutöver skall bolaget bedriva fastighetsförvaltning samt därmed förenlig verksamhet.",1994-05-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556489-0373,Jyro Taxi AB,Jyro Taxi AB,49330,,49330,VENDELSÖ,13666,ALBATROSSVÄGEN 84,Bolaget skall bedriva taxirörelse samt travsportverksamhet samt idka därmed förenlig verksamhet.,1994-06-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556241-6775,WJG Holdings AB,WJG Holdings AB,70100,,70100,KARLSHAMN,37432,SÖDRA STILLERYDSVÄGEN 17 A,Bolaget har till föremål för sin verksamhet att direkt eller genom innehav av aktier och andelar i andra företag driva mekanisk verkstadsrörelse och annan därmed sammanhängande verksamhet.,1984-04-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556517-6533,70 - 70 Management AB,70 - 70 Management AB,70200,,70200,KÄVLINGE,24491,GAMLA VÄGEN 48,Bolaget skall bedriva Konsultverksamhet avseende företags organisation och därmed förenlig verksamhet,1995-11-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556477-8222,PSK Syd AB,PSK Syd AB,71121,,71121; 71124; 71129,HELSINGBORG,25466,GARNISONSGATAN 7 A,"Aktiebolaget ska bedriva konstruktion, konsultation och ritning av byggnader och fastigheter, handel och förvaltning av värdepapper och fast egendom och därmed förenlig verksamhet.",1993-12-07,active,,,http://psksyd.com,,hitta_orgnr,high,info@psksyd.com,+46 42 21 18 12; +46 10 188 20 00,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/psk+syd+ab/helsingborg/knnuving | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,psksyd.com,https://psksyd.com,static,no,,,
556485-2431,Good Deeds Avenue AB,Good Deeds Avenue AB,70200,,70200; 66120; 73111; 66190,JÄRFÄLLA,17568,SKÄLBY GÅRDS VÄG 9,"Föremålet för bolagets verksamhet är att bedriva försäljning samt projekt- och produktionsledning inom reklam och marknadsföring samt förvaltning av aktier, värdepapper och därmed förenlig verksamhet.",1994-03-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556487-5689,Orsa Miljö- & Fastighetsservice Aktiebolag,Orsa Miljö- & Fastighetsservice Aktiebolag,41000,,41000,ORSA,79434,STRANDELLVÄGEN 22,"Bolaget skall bedriva bygg- och anläggningsarbeten, försäljning av byggmaterial inom VVS-sektorn, tillverkning inom metallindustrin samt därmed förenlig verksamhet.",1994-05-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556498-2717,Segersta El&Trading Aktiebolag,Segersta El&Trading Aktiebolag,43210,,43210; 46649,MÄRSTA,19593,TROSTA 214,Bolaget skall bedriva nationell och internationell handel avseende inköp och försäljning av nya och begagnade låg- och högspänningsutrustningar ävensom idka därmed förenlig verksamhet.,1994-11-02,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556238-3058,Kytra Aktiebolag,Kytra Aktiebolag,70200,,70200; 66120,GÖTEBORG,41143,NILSSONSBERG 22  LÄG 610,"Bolaget skall bedriva undervisning i statistik, statistiska och numeriska utredningar och konsultarbeten, grafisk produktion och försäljning, hantering och förvaltning av värdepapper, samt därmed förenlig verksamhet.",1983-12-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556508-2897,SPI Global Play AB,SPI Global Play AB,42990,,42990,MALMÖ,21377,SKRITTGATAN 8,"Bolaget skall bedriva projektering, försäljning och byggnation av lekanläggningar och vattenanläggningar både inomhus och utomhus i kommersiella och offentliga miljöer. Bolaget skall även för kunds räkning genomföra evenemangsmarknadsföring kring en produkter, varumärke eller idé samt idka därmed förenlig verksamhet.",1995-02-07,active,,,http://www.spiglobalplay.com/Swe/Hem.aspx,,hitta_orgnr,high,sales@spiglobalplay.com,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/spi+global+play+ab/malm%C3%B6/mguyefkc | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,spiglobalplay.com,,,,,,
556489-8079,Anders Westman Advice AB,Anders Westman Advice AB,70200,,70200; 64310,ÅSELE,91932,STORGATAN 29,"Bolaget skall bedriva ekonomisk konsultverksamhet och värde- pappersförvaltning, samt därmed förenlig verksamhet.",1994-07-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556490-2160,TQI Projekt AB,TQI Projekt AB,71121,,71121,NACKA,13154,SMEDJEGATAN 2 C,"Bolaget skall bedriva projektledning och entreprenadverksamhet inom byggnation, installation, rör och ventilation samt annan därmed förenlig verksamhet.",1994-07-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556499-7988,Öckerö konsult och transport AB,Öckerö konsult och transport AB,70200,,70200,ÖCKERÖ,47531,BACKEVÄGEN 25,Föremålet för bolagets verksamhet ska vara att bedriva transport- verksamhet samt konsultverksamhet inom system- och programvaror samt även idka därmed förenlig verksamhet.,1994-12-01,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,
556244-1328,Taxi Junsele Aktiebolag,Taxi Junsele Aktiebolag,49330,,49330,JUNSELE,88371,LABBS VÄG 6,Bolaget skall bedriva taxirörelse och därmed förenlig verksamhet.,1984-05-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556244-1633,Mark & Väg Ingarö Aktiebolag,Mark & Väg Ingarö Aktiebolag,49410,,49410; 43120; 08120,INGARÖ,13407,BOX 90,"Bolaget skall bedriva schaktentreprenader, transporter, grustäkt och försäljning av grustäktsprodukter samt äga och förvalta värdepapper och fastigheter ävensom idka därmed förenlig verksamhet.",1984-05-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556504-5548,JoSwe El Aktiebolag,JoSwe El Aktiebolag,43210,,43210,VISBY,62141,BINGEBYGATAN 9 D,"Bolaget skall driva elektriska installationer och service, samt idka därmed förenlig verksamhet.",1995-02-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556492-1137,Carlsson & Frey AB,Carlsson & Frey AB,70200,,70200; 86999,HÄLLINGSJÖ,43895,RYDEBACKE 6,"Bolaget skall bedriva rådgivning angående relationer och personlig utveckling, samt utbildning och konsultverksamhet inom nämnda områden.",1994-09-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556505-5950,C Lidman HVS AB,C Lidman HVS AB,43320,,43320,KUNGÄLV,44233,GAMLA TROLLHÄTTEVÄGEN 10,Bolaget skall bedriva byggnadsarbeten samt service på fastigheter.,1995-02-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556502-3255,Karlberg Konsult Skåne AB,Karlberg Konsult Skåne AB,43120,,43120,VIKEN,26362,MUSSELVÄGEN 9,"Föremålet för bolagets verksamhet är att bedriva konsult- verksamhet och rådgivning inom fototryckarbeten, förlags- verksamhet avseende böcker och tidskrifter, It-verksamhet, webbdesign, in- och utomhusmiljö och därmed förenlig verksamhet.",1994-12-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556506-7211,Reimersholme Konsult AB,Reimersholme Konsult AB,69201,,69201,HANDEN,13635,RUNSTENSTORGET 4  LGH 2008,"Bolaget skall bedriva tjänsteverksamhet inom redovisning samt konsultverksamhet inom säkerhets- och IT-branschen. Bolaget ska också bedriva viss hamnanläggningsförvaltning samt försäljning av trädgårdsprodukter och tillhandahålla trädgårdstjänster såsom plantering, skötsel och underhåll av trädgårdar.",1995-01-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556506-7773,Leave it to us AB,Leave it to us AB,70200,,70200; 68201,FALUN,79193,SLAGGEN 25,Bolaget skall bedriva projektledning på konsultbasis samt en obetydlig del fastighetsförvaltning.,1995-01-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556498-1784,Mieåns Stenbro Aktiebolag,Mieåns Stenbro Aktiebolag,70200,,70200,KARLSHAMN,37422,NORRA FOGDELYCKEGATAN 5,"Bolaget skall äga och förvalta fast och lös egendom, driva handels- och verkstadsrörelse samt uthyrningsverksamhet inom bilbranschen ävensom idka därmed förenlig verksamhet.",1994-11-02,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556501-0393,Abrahamssons Sälj & Service AB,Abrahamssons Sälj & Service AB,43320,,43320; 43120; 43210; 47811; 77320,MÄRSTA,19592,VRETA 444,"Föremålet för bolagets verksamhet är att bedriva försäljning av livsmedels och bageriprodukter, försäljning och service av kontorsmaskiner och därmed förenlig verksamhet.",1995-01-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556258-2550,SkatteGruppen T I Aktiebolag,SkatteGruppen T I Aktiebolag,69201,,69201; 68203,LUND,22647,BESLUTSGRÄNDEN 6,"Bolaget skall bedriva konsultverksamhet i ekonomiska frågor, förvaltning av tillgångar samt därmed förenlig verksamhet.",1985-04-02,active,,,http://www.skattegruppen.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/skattegruppen+t+i+ab/lund/icmpttzja | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,skattegruppen.se,https://skattegruppen.se/customer-service,browser,no,cart,main@https://skattegruppen.se/:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/impressum:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/kontakt:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/kontakta-oss:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/contact:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/contact-us:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/om-oss:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/about:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/kundtjanst:hasCart(urlPath:/cart) | internal@https://skattegruppen.se/kundtj%C3%A4nst:hasCart(urlPath:/cart) | contact_like@https://skattegruppen.se/customer-service:hasCart(urlPath:/cart),
556514-8425,Peter Suter Revisionsbyrå AB,Peter Suter Revisionsbyrå AB,69202,,69202,ONSALA,43991,NORRA HAGENVÄGEN 30,Bolaget skall bedriva revisionsverksamhet samt därmed förenlig verksamhet.,1995-06-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556515-8457,Driftec AB,Driftec AB,71124,,71124,ÖSTERHANINGE,13769,ALBYBERGSRINGEN 116  LOKAL 18,"Bolaget skall bedriva VVS-teknisk konsultverksamhet, handel med VVS-produkter samt därmed förenlig verksamhet.",1995-07-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556515-8614,KMJ Cad Assistance AB,KMJ Cad Assistance AB,71110,,71110,LIDINGÖ,18166,SLIPVÄGEN 7  3.TR,Bolaget skall bedriva arkitektverksamhet och därmed förenlig verksamhet.,1995-09-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556260-8793,Vägproduktion i Solna AB,Vägproduktion i Solna AB,42110,,42110,SOLNA,17160,WIBOMS VÄG 6,Bolaget ska bedriva konsultationer inom byggbranschen. Köp och försäljning av fastigheter. Fastighetsförvaltning. Bolaget ska även äga och förvalta fast och lös egendom samt köp och försäljning av värdepapper och därmed förenlig verksamhet.,1987-12-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556469-7992,Sävar Schakt & Transport Aktiebolag,Sävar Schakt & Transport Aktiebolag,49410,,49410,BERGKVARA,38540,KAPTENSGATAN 12,"Föremålet för bolagets verksamhet är att bedriva fjärrtransportverksamhet, traktorrörelse, fastighetsförvaltning, konsultverksamhet och försäljning av jord, sand och grus, samt idka därmed förenlig verksamhet.",1993-07-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556317-8739,Aktiebolaget Älvsjö Plåtslageri,Aktiebolaget Älvsjö Plåtslageri,43411,,43411; 25530,FALUN,79127,BOX 292,Bolaget skall driva plåtslageri ävensom idka därmed förenlig verksamhet.,1988-02-05,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_url_found,,,,,,,
556475-4322,Nesso Arkitektur Aktiebolag,Nesso Arkitektur Aktiebolag,71110,,71110,MALMÖ,21134,SÖDERGATAN 26,Bolaget skall bedriva arkitekt- och byggnadskonsultverksamhet samt därmed förenlig verksamhet.,1993-10-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556480-7880,JC Pool Aktiebolag,JC Pool Aktiebolag,43221,,43221,KALMAR,39363,TEKNIKERVÄGEN 12,"Bolaget skall bedriva konstruktion, konsultationer, entreprenadverksamhet och rådgivning inom området för vatten och miljöanläggningar, ävensom drift, kontroll och underhåll inom samma område, samt bedriva därmed förenlig verksamhet.",1994-01-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556476-9924,Tiny River AB,Tiny River AB,70200,,70200; 62100; 71123,ÅKERSBERGA,18491,LÅNGSJÖBERG 8,"1) Konsultverksamhet inom IT samt därmed förenlig verksamhet. 2) Verksamhetskonsultationer inom bank- och finanssektorn rörande affärsutveckling, program- och projektledning, utredning, verksamhets expertis, produktexpertis, utbildning samt därmed förenlig verksamhet. 3) Managementkonsultationer rörande affärsstrategi, affärsplaner, affärs-, organisations-, informations- och datamodulering, change-management, program- och projektledning samt därmed förenlig verksamhet. 4) Organisations-, lednings-, grupp- och individutveckling med hjälp av coachning, mentorskap, terapi och utbildning samt därmed förenlig verksamhet. 5) Immateriell och monetär investeringsverksamhet.6a) Verksamhets konsultationer och utbildning inom framför allt förnybar teknologi och därmed förenlig verksamhet. 6b) Verksamhet inom turistnäringen och därmed förenlig verksamhet.6c) Andrahandsförsäljning och reparation av cyklar samt andra fordom och därmed förenlig verksamhet. 6d) Författarskap och utgivning av böcker och annan litteratur i fysisk eller digital form samt därmed förenlig verksamhet.",1993-12-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556485-0914,N Hassel Aktiebolag,N Hassel Aktiebolag,71122,,71122,LANDVETTER,43836,MAGASINSVÄGEN 9,Bolaget ska äga och förvalta fastigheter samt driva därmed förenlig verksamhet.,1994-05-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
